"","year_","ID","capdt","gpsdt","weight","culmen","totalHead","tarsus","wing","thr_width","thr_height","sex","n_by_id","capture_id","delta_weight","delta_time"
"74",2006,123213078,2006-06-27 11:40:00,2006-06-27 12:02:44,97,NA,NA,NA,NA,3.66667008399963,NA,1,2,"123213078_2006",2,941690
"75",2006,123213093,2006-06-13 14:45:00,2006-06-13 15:05:53,93.5,28.2199993133545,55.6100006103516,28.2199993133545,139,2,NA,1,2,"123213093_2006",NA,NA
"76",2006,123213093,2006-06-27 13:44:00,2006-06-27 13:59:35,85,NA,NA,NA,NA,2,NA,1,2,"123213093_2006",-8.5,1205622
"77",2006,123213097,2006-06-11 15:40:00,2006-06-11 16:07:02,102.5,30.1900005340576,56,30.6700000762939,145,3.33332991600037,NA,1,2,"123213097_2006",NA,NA
"78",2006,123213097,2006-06-20 14:45:00,2006-06-20 14:48:51,101,NA,NA,NA,NA,4.16666984558105,NA,1,2,"123213097_2006",-1.5,772909
"79",2006,198103112,2006-05-28 16:25:00,2006-05-28 16:53:38,107,30.1000003814697,58.5,30.0100002288818,148,3,NA,1,3,"198103112_2006",NA,NA
"80",2006,198103112,2006-06-08 12:14:00,2006-06-08 12:40:03,96,NA,NA,NA,NA,3.5,NA,1,3,"198103112_2006",-11,935185
"81",2006,198103112,2006-06-27 11:04:00,2006-06-27 11:20:47,98,NA,NA,NA,NA,2.16667008399963,NA,1,3,"198103112_2006",2,1636844
"82",2006,199124675,2006-05-28 10:35:00,2006-05-28 10:48:05,83,28.5,54.4000015258789,27.2000007629395,140,NA,NA,1,3,"199124675_2006",NA,NA
"83",2006,199124675,2006-06-04 15:41:00,2006-06-04 15:54:02,96,NA,NA,NA,NA,3.5,NA,1,3,"199124675_2006",13,623157
"84",2006,199124675,2006-06-24 18:00:00,2006-06-24 18:22:20,91,NA,NA,NA,NA,NA,NA,1,3,"199124675_2006",-5,1736898
"85",2007,123233219,2007-06-06 14:40:00,2007-06-06 15:02:12,100.699996948242,27.8700008392334,52.9199981689453,28.6599998474121,144,NA,NA,1,2,"123233219_2007",NA,NA
"86",2007,123233219,2007-06-15 14:30:00,2007-06-15 14:44:17,95.0999984741211,NA,NA,NA,NA,NA,NA,1,2,"123233219_2007",-5.59999847412109,776525
"87",2007,123233231,2007-06-10 10:00:00,2007-06-10 10:03:57,104.099998474121,29.9500007629395,56.5200004577637,30.7700004577637,147.5,NA,NA,1,3,"123233231_2007",NA,NA
"88",2007,123233231,2007-06-28 14:10:00,2007-06-28 14:35:33,97.1999969482422,NA,NA,NA,NA,NA,NA,1,3,"123233231_2007",-6.90000152587891,1571496
