"","year_","ID","capdt","gpsdt","weight","culmen","totalHead","tarsus","wing","thr_width","thr_height","sex","n_by_id"
"121",2005,198103193,2005-06-25 00:00:00,2005-06-25 15:54:18,80,27.3999996185303,54.5999984741211,28.1499996185303,133,NA,NA,1,1
"122",2005,198113178,2005-06-25 00:00:00,2005-06-25 17:28:22,103,26.9500007629395,55.7000007629395,27.7000007629395,139,NA,NA,1,1
"123",2006,121239901,2006-05-26 13:46:00,2006-05-26 14:33:14,106,30,57.5,30.2999992370605,149,3.83332991600037,NA,1,2
"124",2006,121239901,2006-06-04 17:32:00,2006-06-04 16:24:09,102,NA,NA,NA,NA,3.66667008399963,NA,1,2
"125",2006,121239902,2006-05-26 15:57:00,2006-05-26 15:27:10,107,29.2999992370605,56,29.8999996185303,146,5,NA,1,1
"126",2006,121239903,2006-05-26 15:40:00,2006-05-26 15:58:24,90.5,29.1000003814697,55.5,29.2000007629395,137,4,NA,1,3
"127",2006,121239903,2006-06-04 15:20:00,2006-06-04 15:34:09,91,NA,NA,NA,NA,NA,NA,1,3
"128",2006,121239903,2006-06-15 12:01:00,2006-06-15 12:46:15,89,NA,NA,NA,NA,NA,NA,1,3
"129",2006,121239904,2006-05-26 16:14:00,2006-05-26 16:31:03,102,28.2999992370605,55.7999992370605,28.1000003814697,146,3.33332991600037,NA,1,1
"130",2006,121239905,2006-05-27 08:45:00,2006-05-27 09:12:27,107,30.7000007629395,56,31,146,3.5,NA,1,1
"131",2006,121239906,2006-05-27 11:00:00,2006-05-27 11:23:10,99.5,29.3999996185303,56.7999992370605,30.1000003814697,147,4.5,NA,1,5
"132",2006,121239906,2006-06-05 11:25:00,2006-06-05 11:34:59,99,NA,NA,NA,NA,3.16667008399963,NA,1,5
"133",2006,121239906,2006-06-08 00:00:00,2006-06-08 10:53:12,106.5,NA,NA,NA,NA,NA,NA,1,5
"134",2006,121239906,2006-06-15 13:59:00,2006-06-15 14:11:40,89,NA,NA,NA,NA,NA,NA,1,5
"135",2006,121239906,2006-06-25 10:26:00,2006-06-25 10:39:33,94,NA,NA,NA,NA,3,NA,1,5
"136",2006,121239907,2006-05-27 09:45:00,2006-05-27 10:08:02,96,30.5,57.9000015258789,29.5,148,4.33333015441895,NA,1,1
"137",2006,121239908,2006-05-28 08:50:00,2006-05-28 09:19:56,109,28.2000007629395,54.8499984741211,29.2999992370605,139,3.33332991600037,NA,1,2
"138",2006,121239908,2006-06-15 12:20:00,2006-06-15 15:40:15,105,NA,NA,NA,NA,NA,NA,1,2
"139",2006,121239909,2006-05-28 10:04:00,2006-05-28 10:09:06,90,28.3999996185303,55.2000007629395,28.7000007629395,144,4.16666984558105,NA,1,1
"140",2006,121239910,2006-05-28 11:32:00,2006-05-28 11:44:30,88,29.6000003814697,56.5999984741211,28.2000007629395,145,3,NA,1,1
"141",2006,121239911,2006-05-28 12:26:00,2006-05-28 12:35:55,105,28.7999992370605,56,29.1000003814697,142,3.5,NA,1,1
"142",2006,121239912,2006-06-15 10:40:00,2006-06-15 10:36:04,92,29.8999996185303,57,28.2000007629395,141,3.16667008399963,NA,1,1
"143",2006,121239913,2006-06-15 12:20:00,2006-06-15 11:38:29,96,27.7999992370605,53.9000015258789,28.1000003814697,141,3.5,NA,1,1
"144",2006,121239914,2006-06-15 12:52:00,2006-06-15 12:24:51,100,27.6000003814697,52.5,29.2000007629395,142.5,3.5,NA,1,1
"145",2006,121239915,2006-06-15 14:30:00,2006-06-15 13:48:17,106,29.8999996185303,57.5,31,150.5,3.66667008399963,NA,1,1
"146",2006,121239916,2006-06-15 13:45:00,2006-06-15 13:18:31,106,29.7000007629395,56.7999992370605,30.3999996185303,147,3.5,NA,1,1
"147",2006,121239917,2006-06-15 15:06:00,2006-06-15 14:25:03,93,27.6000003814697,53.2000007629395,27.6000003814697,140,3.5,NA,1,1
"148",2006,121239918,2006-06-16 16:51:00,2006-06-16 16:59:47,98,31.2000007629395,57.2000007629395,30.5,145,3.5,NA,1,1
"149",2006,121239919,2006-06-19 14:22:00,2006-06-19 14:44:32,98,26.6000003814697,52.5,29,138,4,NA,1,1
"150",2006,121239920,2006-06-19 10:25:00,2006-06-19 10:42:23,101,30.5,57.0999984741211,30.3999996185303,140,3.5,NA,1,1
"151",2006,121239921,2006-06-19 15:04:00,2006-06-19 15:13:34,93,28.5,54.9000015258789,28.2999992370605,142,3,NA,1,1
"152",2006,121239956,2006-05-30 09:07:00,2006-05-30 09:14:13,82,29.2999992370605,55.5999984741211,29.7999992370605,148,3.33332991600037,NA,1,1
"153",2006,121239957,2006-05-30 09:25:00,2006-05-30 09:14:13,91,29.8999996185303,56.5,30.7000007629395,142,4.33333015441895,NA,1,1
"154",2006,121239958,2006-05-30 10:15:00,2006-05-30 10:41:39,96,29.1000003814697,55.5,28,142,3,NA,1,1
"155",2006,121239959,2006-05-30 11:24:00,2006-05-30 11:42:01,106,30.2999992370605,57.7999992370605,27.8999996185303,146,4,NA,1,2
"156",2006,121239959,2006-06-08 10:53:00,2006-06-08 11:26:21,97,NA,NA,NA,NA,3.16667008399963,NA,1,2
"157",2006,121239960,2006-06-01 17:07:00,2006-06-01 17:32:29,102,30,56.5,29.2000007629395,148,4.83333015441895,NA,1,1
"158",2006,121239961,2006-06-01 17:37:00,2006-06-01 17:32:29,102,30.2999992370605,54.7000007629395,29.2999992370605,148,3.66667008399963,NA,1,1
"159",2006,121239962,2006-06-01 18:45:00,2006-06-01 18:51:08,110,30.1000003814697,56.9000015258789,29.2000007629395,143,4,NA,1,2
"160",2006,121239962,2006-06-25 15:49:00,2006-06-25 16:42:35,101,NA,NA,NA,NA,3.5,NA,1,2
"161",2006,121239963,2006-06-03 16:31:00,2006-06-03 16:53:51,107.5,27.7999992370605,55.7999992370605,30,145,3.5,NA,1,1
"162",2006,121239964,2006-06-03 17:11:00,2006-06-03 17:27:15,101.5,29.2999992370605,55.7000007629395,29.1000003814697,145,3.66667008399963,NA,1,1
"163",2006,121239965,2006-06-03 18:21:00,2006-06-03 18:28:07,105,27.6000003814697,53,29.5,147,4.66666984558105,NA,1,1
"164",2006,121239966,2006-06-03 18:42:00,2006-06-03 18:28:07,118,29.3999996185303,56.2000007629395,29.6000003814697,142,4.66666984558105,NA,1,1
"165",2006,121239967,2006-06-03 19:06:00,2006-06-03 18:28:07,97,27.5,54.4000015258789,27.5,146,3.5,NA,1,1
"166",2006,121239968,2006-06-03 19:29:00,2006-06-03 19:36:56,101,28.3999996185303,53.7999992370605,29.1000003814697,145,3,NA,1,2
"167",2006,121239968,2006-06-25 11:55:00,2006-06-25 12:27:13,94,NA,NA,NA,NA,2.33332991600037,NA,1,2
"168",2006,121239969,2006-06-03 20:18:00,2006-06-03 18:28:07,88,29.6000003814697,56.5,29,139,3,NA,1,1
"169",2006,121239971,2006-06-03 20:18:00,2006-06-03 18:28:07,93,30.6000003814697,57.7999992370605,29.8999996185303,145,3.66667008399963,NA,1,1
"170",2006,121239972,2006-06-04 09:56:00,2006-06-04 10:17:21,98,28.1000003814697,55.5999984741211,29.5,142,3,NA,1,1
"171",2006,121239973,2006-06-04 10:19:00,2006-06-04 10:17:21,96,28.6000003814697,54.7000007629395,31.1000003814697,146,5,NA,1,1
"172",2006,121239974,2006-06-04 11:11:00,2006-06-04 10:17:21,91,30,56,30.7000007629395,142,4,NA,1,1
"173",2006,121239975,2006-06-04 16:17:00,2006-06-04 16:24:09,109,30.1000003814697,56.4000015258789,30,140,3.83332991600037,NA,1,1
"174",2006,121239976,2006-06-04 16:28:00,2006-06-04 16:24:09,103,29.6000003814697,54.2000007629395,29.7000007629395,146,4.66666984558105,NA,1,1
"175",2006,121239977,2006-06-05 11:56:00,2006-06-05 12:09:45,98,30.3999996185303,57.2999992370605,31.2000007629395,144,3.66667008399963,NA,1,1
"176",2006,121239978,2006-06-05 12:23:00,2006-06-05 12:35:01,100,29.5,55.7000007629395,30.1000003814697,141,3.83332991600037,NA,1,1
"177",2006,121239979,2006-06-06 10:27:00,2006-06-06 10:40:21,79,27.3999996185303,53.5,28.8999996185303,145,2.66667008399963,NA,1,1
"178",2006,123213001,2006-06-19 10:44:00,2006-06-19 10:58:51,97,29.2999992370605,57.7999992370605,30.7999992370605,146,3.83332991600037,NA,1,1
"179",2006,123213002,2006-06-18 11:14:00,2006-06-18 11:15:46,102,28.2999992370605,55.4000015258789,30,146,3.33332991600037,NA,1,1
